soil_property,prep_transform,train,prep_spectra
carbon_org_perc,logTransform,CT-KSSL,BOC
carbon_org_perc,logTransform,CT-KSSL,raw
carbon_org_perc,logTransform,CT-KSSL,SG1stDer
carbon_org_perc,logTransform,CT-KSSL,SNV
carbon_org_perc,logTransform,CT-KSSL,SNVplusSG1stDer
carbon_org_perc,logTransform,CT-KSSL,SST
carbon_org_perc,logTransform,CT-KSSL,wavelet
clay_perc,withoutTransform,CT-KSSL,BOC
clay_perc,withoutTransform,CT-KSSL,raw
clay_perc,withoutTransform,CT-KSSL,SG1stDer
clay_perc,withoutTransform,CT-KSSL,SNV
clay_perc,withoutTransform,CT-KSSL,SNVplusSG1stDer
clay_perc,withoutTransform,CT-KSSL,SST
clay_perc,withoutTransform,CT-KSSL,wavelet
pH_H20,withoutTransform,CT-KSSL,BOC
pH_H20,withoutTransform,CT-KSSL,raw
pH_H20,withoutTransform,CT-KSSL,SG1stDer
pH_H20,withoutTransform,CT-KSSL,SNV
pH_H20,withoutTransform,CT-KSSL,SNVplusSG1stDer
pH_H20,withoutTransform,CT-KSSL,SST
pH_H20,withoutTransform,CT-KSSL,wavelet
potassium_cmolkg,logTransform,CT-KSSL,BOC
potassium_cmolkg,logTransform,CT-KSSL,raw
potassium_cmolkg,logTransform,CT-KSSL,SG1stDer
potassium_cmolkg,logTransform,CT-KSSL,SNV
potassium_cmolkg,logTransform,CT-KSSL,SNVplusSG1stDer
potassium_cmolkg,logTransform,CT-KSSL,SST
potassium_cmolkg,logTransform,CT-KSSL,wavelet
